StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade
156,Student_156,Female,87,8,74,1,Medium,61
157,Student_157,Male,90,20,94,2,Medium,71
158,Student_158,Female,90,25,90,1,Medium,75
159,Student_159,Male,82,13,85,2,Low,69
160,Student_160,Female,84,9,63,4,Low,42
161,Student_161,Male,92,18,79,3,Medium,74
162,Student_162,Male,90,25,82,0,Low,64
163,Student_163,Female,100,7,67,3,High,58
164,Student_164,Female,100,9,65,2,Low,63
165,Student_165,Female,95,13,95,2,Medium,67
166,Student_166,Male,82,11,71,3,Low,42
167,Student_167,Female,83,11,94,5,Medium,64
168,Student_168,Male,80,3,87,2,High,57
169,Student_169,Male,90,20,80,1,Low,63
170,Student_170,Female,66,18,80,1,High,63
171,Student_171,Female,84,6,58,2,Medium,57
172,Student_172,Male,86,25,77,2,High,76
173,Student_173,Male,76,26,92,5,Medium,67
174,Student_174,Female,94,11,83,1,High,67
175,Student_175,Female,79,23,77,2,Medium,61
176,Student_176,Female,90,13,96,2,Medium,65
177,Student_177,Male,100,17,73,5,Low,55
178,Student_178,Male,75,11,68,5,Low,57
179,Student_179,Male,87,29,77,3,High,73
180,Student_180,Male,85,14,84,5,Medium,65
181,Student_181,Male,83,17,54,0,Medium,52
182,Student_182,Male,94,12,78,1,High,60
183,Student_183,Female,97,27,85,3,Medium,77
184,Student_184,Male,94,27,72,0,High,77
185,Student_185,Male,82,26,88,2,High,80
186,Student_186,Male,100,22,83,2,Medium,59
187,Student_187,Female,74,12,100,3,High,62
188,Student_188,Male,80,21,66,5,Low,60
189,Student_189,Male,89,16,85,2,Medium,60
190,Student_190,Female,89,24,63,4,Medium,65
191,Student_191,Male,92,23,56,3,Medium,55
192,Student_192,Male,100,12,51,0,High,61
193,Student_193,Male,87,22,81,3,High,77
194,Student_194,Male,89,20,77,1,Medium,69
195,Student_195,Male,83,1,69,5,Medium,51
196,Student_196,Female,93,21,54,5,High,72
197,Student_197,Female,85,13,67,3,Medium,49
198,Student_198,Female,85,11,75,2,Medium,52
199,Student_199,Male,92,11,85,2,Medium,66
200,Student_200,Male,96,15,75,4,High,73
201,Student_201,Male,70,19,78,4,Medium,57
202,Student_202,Female,91,8,70,5,High,55
203,Student_203,Male,86,17,96,4,High,70
204,Student_204,Male,96,19,63,0,Medium,53
205,Student_205,Female,86,27,67,4,Medium,60
206,Student_206,Male,98,10,69,0,High,55
207,Student_207,Female,83,14,82,4,Medium,59
208,Student_208,Female,70,18,63,5,High,60
209,Student_209,Female,96,23,77,5,High,77
210,Student_210,Male,81,14,77,0,Medium,56
211,Student_211,Male,75,23,67,3,High,63
212,Student_212,Male,88,4,79,5,High,58
213,Student_213,Male,86,8,63,3,High,47
214,Student_214,Male,95,18,62,2,Medium,65
215,Student_215,Male,95,8,76,0,Low,58
216,Student_216,Male,89,9,55,5,Medium,46
217,Student_217,Female,81,13,49,1,Medium,46
218,Student_218,Male,90,21,81,2,Medium,74
219,Student_219,Female,89,5,88,3,High,61
220,Student_220,Male,93,17,69,5,Medium,64
221,Student_221,Male,81,22,67,0,Medium,61
222,Student_222,Male,85,15,87,4,Low,66
223,Student_223,Female,92,14,61,1,High,63
224,Student_224,Female,98,18,59,3,Medium,62
225,Student_225,Female,96,15,83,2,Medium,68
226,Student_226,Female,89,24,75,0,Medium,65
227,Student_227,Male,84,9,88,1,High,62
228,Student_228,Female,91,16,49,0,Medium,57
229,Student_229,Male,79,17,58,5,Medium,54
230,Student_230,Male,81,14,75,4,High,57
231,Student_231,Female,100,1,80,2,High,68
232,Student_232,Female,91,15,85,0,High,74
233,Student_233,Female,20,21,77,3,Medium,65
234,Student_234,Female,95,21,77,5,Medium,66
235,Student_235,Female,98,18,70,5,High,69
236,Student_236,Female,84,9,94,2,Medium,64
237,Student_237,Female,85,18,62,5,High,52
238,Student_238,Female,84,13,79,3,Medium,70
239,Student_239,Male,96,18,63,0,Medium,57
240,Student_240,Female,96,17,81,2,Low,61
241,Student_241,Female,99,10,63,5,Medium,55
242,Student_242,Male,96,11,84,5,Low,67
243,Student_243,Female,75,18,76,3,Low,54
244,Student_244,Male,90,15,96,4,High,81
245,Student_245,Male,80,11,72,4,Medium,56
246,Student_246,Female,84,10,80,5,Medium,52
247,Student_247,Male,89,14,66,0,High,62
248,Student_248,Male,95,25,72,2,Medium,68
249,Student_249,Male,81,13,76,5,Low,47
250,Student_250,Male,69,16,57,1,High,57
251,Student_251,Female,89,17,58,2,Medium,56
252,Student_252,Male,100,9,82,4,High,69
253,Student_253,Female,86,5,73,5,High,57
254,Student_254,Male,88,10,68,3,High,56
255,Student_255,Male,100,17,66,1,Medium,66
256,Student_256,Male,93,17,67,5,Medium,57
257,Student_257,Male,90,20,76,0,Medium,50
258,Student_258,Female,92,17,80,1,Low,60
259,Student_259,Female,90,15,50,5,High,54
260,Student_260,Male,79,12,92,0,Low,58
261,Student_261,Male,77,21,91,1,Medium,78
262,Student_262,Female,100,10,47,0,High,65
263,Student_263,Male,89,9,88,0,Medium,59
264,Student_264,Male,89,19,88,1,Medium,64
265,Student_265,Male,87,8,75,1,Medium,57
266,Student_266,Female,94,30,59,0,High,71
267,Student_267,Female,100,16,87,4,Medium,70
268,Student_268,Female,92,18,72,1,High,64
269,Student_269,Male,83,11,82,5,Low,55
270,Student_270,Male,87,14,100,2,High,69
271,Student_271,Female,97,13,78,3,High,73
272,Student_272,Female,83,13,64,0,Low,46
273,Student_273,Female,95,20,71,0,Medium,68
274,Student_274,Female,69,13,66,3,Low,39
275,Student_275,Male,86,22,80,4,High,76
276,Student_276,Female,93,32,65,3,Medium,67
277,Student_277,Male,98,14,69,1,Medium,61
278,Student_278,Female,81,17,60,3,Low,55
279,Student_279,Male,76,18,73,0,Medium,58
280,Student_280,Female,86,27,77,3,Low,60
281,Student_281,Female,79,16,43,2,Medium,50
282,Student_282,Female,87,11,78,5,Medium,54
283,Student_283,Female,88,8,74,1,High,57
284,Student_284,Male,77,16,66,3,Medium,56
285,Student_285,Female,94,13,99,0,Medium,75
286,Student_286,Male,87,28,87,5,High,80
287,Student_287,Male,97,27,62,1,High,73
288,Student_288,Male,73,10,85,0,High,65
289,Student_289,Male,80,12,90,4,Medium,61
290,Student_290,Female,92,16,77,2,Medium,10
291,Student_291,Male,82,24,79,4,Low,68
292,Student_292,Male,87,16,79,2,High,66
293,Student_293,Male,88,12,50,3,Low,30
294,Student_294,Female,89,16,73,1,Medium,57
295,Student_295,Female,83,12,72,3,Medium,62
296,Student_296,Female,89,20,92,2,Medium,70
297,Student_297,Female,82,12,79,2,Medium,56
298,Student_298,Male,93,80,71,2,Low,59
299,Student_299,Male,87,23,74,5,Medium,66
300,Student_300,Female,89,11,87,0,Medium,51
301,Student_301,Male,100,7,73,1,High,54
302,Student_302,Male,79,17,67,3,High,64
303,Student_303,Male,99,14,72,3,High,66
304,Student_304,Female,67,19,86,4,High,74
305,Student_305,Female,71,18,81,2,Medium,25
306,Student_306,Male,78,16,76,2,Low,52
307,Student_307,Female,79,16,77,2,Medium,55
308,Student_308,Female,90,12,68,3,Medium,53
309,Student_309,Female,90,17,73,4,Medium,52
310,Student_310,Female,86,21,67,0,Medium,60
311,Student_311,Female,87,10,71,5,Medium,54
312,Student_312,Male,92,16,91,1,Medium,67
313,Student_313,Female,95,22,62,0,Medium,74
314,Student_314,Male,30,19,67,3,Low,62
315,Student_315,Male,85,24,60,5,High,63
316,Student_316,Female,87,13,57,5,Low,37
317,Student_317,Male,92,5,73,5,Low,47
318,Student_318,Male,82,17,68,2,Medium,15
319,Student_319,Male,87,18,96,1,Medium,65
320,Student_320,Female,88,24,72,3,Medium,62
321,Student_321,Female,82,23,90,3,Medium,78
322,Student_322,Male,82,19,87,5,Medium,65
323,Student_323,Female,89,21,72,3,Medium,68
324,Student_324,Female,87,15,100,1,High,69
325,Student_325,Female,92,9,78,1,High,62
326,Student_326,Female,80,17,93,4,Medium,64
327,Student_327,Male,85,22,92,4,Medium,68
328,Student_328,Male,86,20,80,0,High,76
329,Student_329,Female,95,21,84,1,Low,58
330,Student_330,Female,80,13,82,1,Medium,61
331,Student_331,Male,90,14,61,1,Medium,53
332,Student_332,Male,90,19,76,4,High,71
333,Student_333,Female,100,13,88,5,Low,59
334,Student_334,Male,80,13,93,5,Medium,67
335,Student_335,Female,83,18,66,3,High,59
336,Student_336,Female,81,21,81,5,Medium,71
337,Student_337,Male,75,15,77,2,Low,53
338,Student_338,Male,100,9,74,4,High,56
339,Student_339,Female,78,12,79,1,Medium,60
340,Student_340,Female,81,17,78,5,Medium,60
341,Student_341,Male,99,17,81,4,Medium,58
342,Student_342,Female,74,17,92,5,Medium,66
343,Student_343,Male,94,19,84,0,Medium,73
344,Student_344,Female,77,16,79,1,Low,61
345,Student_345,Male,98,18,97,0,Low,66
346,Student_346,Male,71,16,88,1,High,67
347,Student_347,Male,74,23,74,4,Medium,63
348,Student_348,Female,84,25,60,3,Low,64
349,Student_349,Female,96,9,63,5,Medium,49
350,Student_350,Male,88,14,86,5,High,66
351,Student_351,Female,85,16,67,2,Low,48
352,Student_352,Male,99,14,63,0,Medium,51
353,Student_353,Male,100,27,66,5,Low,66
354,Student_354,Female,93,60,67,4,Low,63
355,Student_355,Female,83,11,85,3,Low,53
356,Student_356,Male,85,20,73,4,High,63
357,Student_357,Female,78,18,59,0,Low,50
358,Student_358,Female,89,18,75,2,Low,61
359,Student_359,Male,75,27,78,5,Medium,67
360,Student_360,Male,92,18,69,4,High,74
361,Student_361,Female,100,14,89,1,Medium,63
362,Student_362,Male,94,4,70,3,Medium,50
363,Student_363,Male,84,15,88,4,Low,60
364,Student_364,Female,92,24,82,3,Medium,73
365,Student_365,Male,100,15,86,5,Medium,67
366,Student_366,Male,100,3,62,1,Medium,43
367,Student_367,Female,80,13,76,2,Medium,69
368,Student_368,Female,92,22,74,2,Medium,65
369,Student_369,Male,87,19,58,1,Low,53
370,Student_370,Male,94,11,88,3,Medium,66
371,Student_371,Female,91,13,65,5,Low,48
372,Student_372,Female,69,14,68,4,High,58
373,Student_373,Female,85,12,63,1,High,55
374,Student_374,Female,90,4,83,0,High,62
375,Student_375,Male,77,21,57,3,High,60
376,Student_376,Female,93,24,82,2,Medium,72
377,Student_377,Female,76,7,88,1,High,55
378,Student_378,Male,82,23,81,2,Medium,63
379,Student_379,Female,99,15,84,3,Medium,59
380,Student_380,Male,81,23,84,2,Medium,64
381,Student_381,Female,93,16,64,1,Medium,46
382,Student_382,Female,74,17,92,3,High,68
383,Student_383,Female,100,18,69,0,Medium,61
384,Student_384,Male,86,11,74,1,Medium,57
385,Student_385,Male,89,23,71,4,High,71
386,Student_386,Female,89,9,81,5,Low,59
387,Student_387,Male,93,14,69,1,Medium,72
388,Student_388,Male,76,19,76,3,High,71
389,Student_389,Male,88,13,60,5,Medium,51
390,Student_390,Male,83,21,89,1,Medium,66
391,Student_391,Male,74,24,83,0,Medium,71
392,Student_392,Male,96,22,71,0,Medium,58
393,Student_393,Female,85,4,69,4,High,52
394,Student_394,Female,90,17,83,2,Medium,64
395,Student_395,Male,89,22,67,5,Medium,66
396,Student_396,Female,85,8,77,3,Low,53
397,Student_397,Female,100,20,89,3,Low,63
398,Student_398,Female,88,20,65,2,High,64
399,Student_399,Female,76,9,79,0,Medium,56
400,Student_400,Male,85,21,79,0,Medium,62
401,Student_401,Female,92,18,74,1,Low,64
402,Student_402,Female,92,20,69,4,Medium,66
403,Student_403,Male,79,10,90,5,High,65
404,Student_404,Male,95,17,68,4,Medium,63
405,Student_405,Female,74,6,53,4,Low,35
406,Student_406,Female,97,2,83,1,Medium,52
407,Student_407,Female,77,17,61,4,High,57
408,Student_408,Female,86,23,83,2,Medium,71
409,Student_409,Female,97,18,91,1,High,77
410,Student_410,Female,89,16,83,2,Medium,62
411,Student_411,Male,95,15,88,1,High,75
412,Student_412,Female,93,10,99,4,Medium,65
413,Student_413,Female,98,15,87,2,Low,58
414,Student_414,Male,96,19,79,2,Medium,68
415,Student_415,Male,84,13,95,2,Medium,60
416,Student_416,Male,93,21,96,1,High,70
417,Student_417,Male,76,17,96,3,High,71
418,Student_418,Female,88,18,69,4,Medium,57
419,Student_419,Female,95,21,59,2,Medium,60
420,Student_420,Female,89,13,68,5,Low,47
421,Student_421,Female,92,20,83,3,High,79
422,Student_422,Female,86,14,77,5,Medium,56
423,Student_423,Female,97,18,73,4,Medium,62
424,Student_424,Male,87,12,82,4,Medium,62
425,Student_425,Female,84,11,57,2,Low,38
426,Student_426,Male,95,17,77,2,Medium,57
427,Student_427,Male,77,5,88,1,Medium,56
428,Student_428,Female,92,14,82,3,Low,56
429,Student_429,Male,80,6,83,3,High,54
430,Student_430,Female,98,21,30,2,Medium,77
431,Student_431,Male,86,22,74,4,Low,56
432,Student_432,Female,89,11,67,2,Medium,53
433,Student_433,Male,91,19,89,4,High,70
434,Student_434,Female,73,21,89,4,Medium,68
435,Student_435,Female,83,21,82,2,Medium,73
436,Student_436,Female,96,17,73,0,Low,49
437,Student_437,Female,95,20,75,3,Low,62
438,Student_438,Female,90,12,60,5,Medium,57
439,Student_439,Male,77,16,88,4,High,66
440,Student_440,Male,93,13,88,4,High,64
441,Student_441,Male,94,12,59,0,Low,51
442,Student_442,Female,88,16,85,5,Medium,70
443,Student_443,Male,98,18,80,1,High,76
444,Student_444,Female,83,23,63,0,Medium,63
445,Student_445,Female,84,18,61,5,High,62
446,Student_446,Male,68,20,79,0,Low,51
447,Student_447,Male,95,20,70,4,High,74
448,Student_448,Female,91,32,97,3,High,91
449,Student_449,Male,75,5,86,0,High,52
450,Student_450,Female,74,12,81,1,Medium,58
451,Student_451,Female,81,25,81,2,Medium,72
452,Student_452,Female,94,14,91,5,High,76
453,Student_453,Female,86,21,85,0,Medium,68
454,Student_454,Female,82,17,81,0,Medium,58
455,Student_455,Male,80,29,63,1,High,68
456,Student_456,Male,80,9,100,3,High,62
457,Student_457,Female,73,23,62,0,High,63
458,Student_458,Female,78,26,71,0,Medium,64
459,Student_459,Male,79,10,55,3,High,63
460,Student_460,Male,93,21,81,1,High,78
461,Student_461,Female,87,10,77,5,Low,57
462,Student_462,Male,81,16,84,5,Medium,65
463,Student_463,Female,100,14,54,0,Medium,53
464,Student_464,Male,83,2,88,3,Medium,52
465,Student_465,Female,97,19,65,0,High,66
466,Student_466,Male,100,17,73,2,Medium,65
467,Student_467,Female,75,25,20,5,High,76
468,Student_468,Male,89,20,78,4,High,71
469,Student_469,Male,84,30,79,2,Medium,71
470,Student_470,Female,83,17,85,0,High,66
471,Student_471,Male,92,15,80,1,Medium,56
472,Student_472,Female,83,15,71,5,High,69
473,Student_473,Male,84,13,73,4,Low,63
474,Student_474,Female,87,3,78,2,High,62
475,Student_475,Male,85,15,64,5,Medium,49
476,Student_476,Female,79,4,87,3,Medium,57
477,Student_477,Male,94,19,78,1,High,76
478,Student_478,Female,96,9,76,2,Medium,56
479,Student_479,Male,91,11,89,3,Medium,65
480,Student_480,Female,85,12,74,0,Medium,54
481,Student_481,Female,82,15,73,3,High,71
482,Student_482,Female,82,16,69,2,Medium,59
483,Student_483,Male,100,23,79,2,Low,61
484,Student_484,Female,96,13,79,0,Medium,65
485,Student_485,Male,81,19,67,3,Medium,64
486,Student_486,Female,89,32,73,3,Low,69
487,Student_487,Male,85,18,67,0,Medium,61
488,Student_488,Female,93,15,67,3,Medium,58
489,Student_489,Male,92,11,54,5,Low,40
490,Student_490,Male,97,15,72,0,Medium,61
491,Student_491,Female,81,11,55,1,High,56
492,Student_492,Male,89,18,69,2,Low,55
493,Student_493,Male,74,17,68,1,Medium,60
494,Student_494,Female,78,3,88,5,Medium,51
495,Student_495,Male,95,16,63,5,Medium,57
496,Student_496,Male,80,22,66,4,High,70
497,Student_497,Male,81,14,70,4,Medium,57
498,Student_498,Female,88,12,15,4,Medium,53
499,Student_499,Male,94,8,91,0,Low,62
500,Student_500,Female,80,5,61,3,Medium,42
501,Student_501,Male,60,21,70,5,Medium,53
502,Student_502,Male,81,15,79,1,Low,41
503,Student_503,Male,98,21,86,1,Medium,69
504,Student_504,Female,91,25,70,1,High,79
505,Student_505,Male,99,22,52,1,Medium,50
506,Student_506,Male,79,13,73,4,Medium,51
507,Student_507,Female,75,17,91,1,High,71
508,Student_508,Male,92,12,78,3,High,54
509,Student_509,Female,90,12,78,4,Medium,57
510,Student_510,Female,90,18,62,1,High,69
511,Student_511,Male,95,11,61,0,High,69
512,Student_512,Female,91,3,75,2,Medium,53
513,Student_513,Male,91,11,58,2,Medium,47
514,Student_514,Female,94,14,84,2,Medium,59
515,Student_515,Female,92,25,65,4,High,71
516,Student_516,Male,95,13,75,1,Medium,62
517,Student_517,Female,96,19,52,5,Low,62
518,Student_518,Female,100,15,70,5,High,71
519,Student_519,Female,83,23,61,5,Medium,61
520,Student_520,Female,92,23,47,4,Low,51
521,Student_521,Female,85,23,82,3,Medium,83
522,Student_522,Male,81,6,95,0,Medium,61
523,Student_523,Female,82,17,89,0,High,67
524,Student_524,Male,92,21,83,2,Medium,68
525,Student_525,Female,91,18,70,2,High,62
526,Student_526,Male,91,20,85,5,Medium,56
527,Student_527,Male,86,16,90,5,Low,62
528,Student_528,Female,88,12,77,2,High,72
529,Student_529,Female,95,6,61,1,Medium,42
530,Student_530,Female,76,12,69,3,Medium,53
531,Student_531,Male,88,32,95,3,Medium,77
532,Student_532,Female,89,13,74,3,High,66
533,Student_533,Male,94,4,35,3,Medium,38
534,Student_534,Male,77,20,57,2,Low,43
535,Student_535,Male,100,21,70,0,Low,56
536,Student_536,Female,90,24,87,2,Medium,68
537,Student_537,Female,90,19,72,3,High,75
538,Student_538,Male,85,21,88,2,Medium,75
539,Student_539,Male,92,27,69,3,Medium,67
540,Student_540,Female,88,12,51,4,Low,51
541,Student_541,Male,98,10,69,5,Medium,56
542,Student_542,Female,76,9,79,0,High,57
543,Student_543,Male,89,14,78,4,Medium,61
544,Student_544,Female,91,25,60,1,High,70
545,Student_545,Male,87,19,71,2,Medium,59
546,Student_546,Female,85,19,100,1,Low,67
547,Student_547,Male,85,5,60,2,High,55
548,Student_548,Female,89,12,83,5,Medium,62
549,Student_549,Female,74,5,50,4,High,45
550,Student_550,Male,96,23,85,5,High,80
551,Student_551,Male,84,26,64,3,Low,63
552,Student_552,Female,89,65,80,5,Low,62
553,Student_553,Male,91,10,60,5,High,54
554,Student_554,Female,84,25,78,3,Medium,69
555,Student_555,Male,87,14,64,2,Low,42
556,Student_556,Female,72,9,66,3,Low,42
557,Student_557,Female,94,10,80,4,Low,42
558,Student_558,Female,97,13,70,5,High,56
559,Student_559,Female,74,16,80,3,Low,45
560,Student_560,Female,85,15,73,5,Medium,64
561,Student_561,Female,78,8,76,4,Medium,53
562,Student_562,Male,87,23,80,1,Medium,62
563,Student_563,Male,93,15,71,4,Low,58
564,Student_564,Male,96,12,63,0,High,66
565,Student_565,Female,97,23,69,0,Low,64
566,Student_566,Female,98,9,89,0,High,67
567,Student_567,Female,86,6,76,5,High,59
568,Student_568,Female,79,24,65,2,Medium,66
569,Student_569,Male,87,27,80,2,Medium,69
570,Student_570,Male,93,13,81,2,Medium,62
571,Student_571,Female,78,16,81,5,Medium,59
572,Student_572,Male,100,9,63,4,High,51
573,Student_573,Male,95,16,67,2,High,70
574,Student_574,Female,86,13,67,1,Medium,66
575,Student_575,Male,82,15,71,0,Medium,53
576,Student_576,Female,83,18,81,4,High,73
577,Student_577,Male,89,9,79,0,High,58
578,Student_578,Female,86,14,80,2,Medium,61
579,Student_579,Female,96,5,91,4,Medium,67
580,Student_580,Female,85,14,83,3,Medium,59
581,Student_581,Female,92,15,73,1,High,65
582,Student_582,Male,88,17,61,2,Low,43
583,Student_583,Female,90,17,66,2,Medium,56
584,Student_584,Female,86,21,72,1,Medium,54
585,Student_585,Female,94,7,85,1,Medium,61
586,Student_586,Male,94,7,75,3,Medium,60
587,Student_587,Female,92,19,67,2,High,66
588,Student_588,Male,93,4,66,5,Low,46
589,Student_589,Female,80,17,74,2,Medium,58
590,Student_590,Male,91,9,86,0,Low,59
591,Student_591,Male,98,25,94,4,Low,73
592,Student_592,Female,92,18,73,4,Medium,53
593,Student_593,Male,80,15,74,0,Medium,63
594,Student_594,Female,88,23,60,4,Medium,59
595,Student_595,Female,91,10,98,1,Medium,59
596,Student_596,Female,82,11,58,4,Low,42
597,Student_597,Male,77,8,89,4,Medium,47
